datetime,temp,feels_like,humidity,weather
2025-09-04 15:00:00,24.45,25.43,95,light rain
2025-09-04 18:00:00,24.0,24.91,94,light rain
2025-09-04 21:00:00,24.29,25.18,92,light rain
2025-09-05 00:00:00,23.94,24.87,95,light rain
2025-09-05 03:00:00,24.11,25.03,94,moderate rain
2025-09-05 06:00:00,24.73,25.66,92,moderate rain
2025-09-05 09:00:00,25.45,26.4,90,light rain
2025-09-05 12:00:00,25.72,26.67,89,light rain
2025-09-05 15:00:00,25.12,26.09,92,light rain
2025-09-05 18:00:00,25.2,26.2,93,light rain
2025-09-05 21:00:00,24.95,25.9,92,light rain
2025-09-06 00:00:00,24.85,25.79,92,light rain
2025-09-06 03:00:00,26.39,26.39,88,light rain
2025-09-06 06:00:00,27.65,31.51,82,light rain
2025-09-06 09:00:00,26.05,26.05,90,light rain
2025-09-06 12:00:00,25.15,26.15,93,moderate rain
2025-09-06 15:00:00,25.02,26.01,93,light rain
2025-09-06 18:00:00,24.93,25.88,92,moderate rain
2025-09-06 21:00:00,24.96,25.86,90,moderate rain
2025-09-07 00:00:00,24.87,25.84,93,moderate rain
2025-09-07 03:00:00,25.34,26.28,90,moderate rain
2025-09-07 06:00:00,25.52,26.43,88,moderate rain
2025-09-07 09:00:00,25.62,26.51,87,light rain
2025-09-07 12:00:00,25.75,26.68,88,light rain
2025-09-07 15:00:00,25.79,26.67,86,light rain
2025-09-07 18:00:00,25.75,26.63,86,light rain
2025-09-07 21:00:00,25.64,26.53,87,light rain
2025-09-08 00:00:00,25.13,26.0,88,light rain
2025-09-08 03:00:00,26.72,29.45,84,light rain
2025-09-08 06:00:00,28.61,33.11,77,light rain
2025-09-08 09:00:00,28.81,33.42,76,light rain
2025-09-08 12:00:00,27.69,31.34,80,light rain
2025-09-08 15:00:00,25.95,25.95,84,clear sky
2025-09-08 18:00:00,25.74,26.62,86,light rain
2025-09-08 21:00:00,25.79,26.67,86,light rain
2025-09-09 00:00:00,25.51,26.36,86,light rain
2025-09-09 03:00:00,27.02,30.17,84,light rain
2025-09-09 06:00:00,29.42,33.06,67,light rain
2025-09-09 09:00:00,29.6,33.24,66,clear sky
2025-09-09 12:00:00,27.9,31.42,77,clear sky
